Region,avg_salary
Abai Region,258941.0
Akmola Region,250155.0
Aktobe Region,274401.0
Almaty Region,261228.0
Atyrau Region,523210.0
West Kazakhstan Region,276191.0
Jambyl Region,234526.0
Jetisu Region,229760.0
Karaganda Region,283803.0
Kostanay Region,250943.0
Kyzylorda Region,265738.0
Mangystau Region,459953.0
Pavlodar Region,273505.0
North Kazakhstan Region,227021.0
Turkistan Region,237189.0
Ulytau Region,402561.0
East Kazakhstan Region,287063.0
Astana city,406920.0
Almaty city,354860.0
Shymkent city,234729.0
