Region,clearance_rate
Abai Region,0.1982656681119432
Akmola Region,0.3965674362089915
Aktobe Region,0.30450177035913
Almaty Region,0.256006902960308
Atyrau Region,0.2877017250973845
West Kazakhstan Region,1.0477016478751084
Jambyl Region,0.4242658423493045
Jetisu Region,0.2120555073720728
Karaganda Region,0.2609490719575752
Kostanay Region,0.2810741088180112
Kyzylorda Region,0.4001114516578434
Mangystau Region,0.3759927388245972
Pavlodar Region,0.3594887558647468
North Kazakhstan Region,0.3593425278669941
Turkistan Region,0.4608771674194958
Ulytau Region,0.1683544303797468
East Kazakhstan Region,0.3532285471537808
Astana city,0.2111455718013095
Almaty city,0.1586856341414546
Shymkent city,0.2261795022207324
