Region,household_spending_per_month
Abai Region,63212.0
Akmola Region,79216.0
Aktobe Region,74804.0
Almaty Region,76677.0
Atyrau Region,67757.0
West Kazakhstan Region,63647.0
Jambyl Region,61582.0
Jetisu Region,75924.0
Karaganda Region,101463.0
Kostanay Region,75662.0
Kyzylorda Region,63810.0
Mangystau Region,67617.0
Pavlodar Region,85524.0
North Kazakhstan Region,88905.0
Turkistan Region,56350.0
Ulytau Region,88613.0
East Kazakhstan Region,97411.0
Astana city,92671.0
Almaty city,105837.0
Shymkent city,57873.0
