Region,number_of_entertainment_places
Abai Region,0.4621518906437186
Akmola Region,0.7893691519104129
Aktobe Region,0.5117514288638579
Almaty Region,0.1859249500658705
Atyrau Region,0.3708299665242987
West Kazakhstan Region,0.9809749001222222
Jambyl Region,0.4211978275059423
Jetisu Region,0.4336780334204029
Karaganda Region,0.4943807154508514
Kostanay Region,0.7378832125560323
Kyzylorda Region,0.4834853172827405
Mangystau Region,0.1773243836673811
Pavlodar Region,0.7047263025845705
North Kazakhstan Region,1.0992015340134529
Turkistan Region,0.3336380277509446
Ulytau Region,0.4923327085074189
East Kazakhstan Region,0.4971431388768673
Astana city,0.0590652190765891
Almaty city,0.0633761932187473
Shymkent city,0.0771891730438627
