Region,public_transport_quantity
Abai Region,5.211500043429167
Akmola Region,7.094169709291331
Aktobe Region,4.589602288336915
Almaty Region,3.081042029662998
Atyrau Region,3.174419946900612
West Kazakhstan Region,5.537058325134321
Jambyl Region,4.113452467455694
Jetisu Region,4.995169427845565
Karaganda Region,3.8510583360431743
Kostanay Region,5.720397543593996
Kyzylorda Region,3.971058065026976
Mangystau Region,2.42517171780389
Pavlodar Region,4.914538689076609
North Kazakhstan Region,8.744925321708388
Turkistan Region,4.737943138075649
Ulytau Region,3.974796178775492
East Kazakhstan Region,4.944040582218984
Astana city,1.2108369910700771
Almaty city,1.5404578351710116
Shymkent city,2.10592200369669
