Region,Total_Score
West Kazakhstan Region, 0.603486
Jetisu Region, 0.603280
Almaty city, 0.559766
Kyzylorda Region, 0.529293
Turkistan Region, 0.501813
Astana city, 0.497031
Almaty Region, 0.487740
Abai Region, 0.474836
North Kazakhstan Region, 0.425235
Mangystau Region, 0.404533
Atyrau Region, 0.396664
Ulytau Region, 0.364342
Jambyl Region, 0.343831
Akmola Region, 0.338925
East Kazakhstan Region, 0.317565
Kostanay Region, 0.223877
Aktobe Region, 0.217750
Karaganda Region, 0.206693
Pavlodar Region, 0.190608
